loopback	ipv4-loopback-industrial-port	"127.0.0.1:102"
private	ipv4-private-industrial-port	"10.255.255.1:502"
public	ipv4-documentation-industrial-port	"198.51.100.7:4840"
multicast	ipv4-multicast-industrial-port	"239.255.0.1:2222"
broadcast	ipv4-broadcast-industrial-port	"255.255.255.255:102"
ipv6	ipv6-documentation-industrial-port	"[2001:db8::7]:4840"
hostname	reserved-hostname	"plc.isolation.invalid"
url	https-reserved-name	"https://plc.isolation.invalid/device/1"
url	http-documentation-address	"http://192.0.2.1:102/rack/0"
url	ws-loopback	"ws://127.0.0.1:65535/controller"
url	wss-ipv6-loopback	"wss://[::1]:65535/controller"
protocol	ftp-reserved-name	"ftp://plc.isolation.invalid/program"
protocol	opc-tcp	"opc.tcp://192.0.2.2:4840"
protocol	s7-shaped	"s7://192.0.2.3/rack/0/slot/1"
unc	unc-reserved-name	"\\\\plc.isolation.invalid\\share\\project.vlabproj"
pipe	windows-pipe	"\\\\.\\pipe\\plc-engineering"
device	windows-device-path	"\\\\.\\COM1"
device	reserved-com	"COM1"
device	reserved-lpt	"LPT1"
print	reserved-prn	"PRN"
print	ipp-reserved-name	"ipp://printer.isolation.invalid/ipp/print"
file	remote-file-url	"file://plc.isolation.invalid/share/project.vlabproj"
malformed	malformed-ipv6-url	"http://[::1"
malformed	credential-and-null-escape	"https://user:pass@plc.isolation.invalid/%00"
escape	relative-device-escape	"..\\..\\device\\COM1"
malformed	embedded-nul	"endpoint\u0000https://plc.isolation.invalid"
malformed	lone-surrogate	"endpoint-\ud800"
